algorithm,outer_run,generation,native_fitness,projected_fitness,pop_size,n_gen,steps,cxpb,mutpb,seed
EA2B,2,0,0.08917428664200175,0.09300752875886888,120,30,4000,0.9,0.25,242
EA2B,2,1,0.08917428664200175,0.09300752875886888,120,30,4000,0.9,0.25,242
EA2B,2,2,0.08982920260374104,0.09035625279615753,120,30,4000,0.9,0.25,242
EA2B,2,3,0.12675996961125674,0.1274013318104283,120,30,4000,0.9,0.25,242
EA2B,2,4,0.13318051484558163,0.13472398917868192,120,30,4000,0.9,0.25,242
EA2B,2,5,0.13318051484558163,0.13472398917868192,120,30,4000,0.9,0.25,242
EA2B,2,6,0.17560261143635852,0.1793153395442638,120,30,4000,0.9,0.25,242
EA2B,2,7,0.1853638927838665,0.1870653186799016,120,30,4000,0.9,0.25,242
EA2B,2,8,0.19519584477884305,0.20145621184955126,120,30,4000,0.9,0.25,242
EA2B,2,9,0.19673828693762002,0.20227028117017887,120,30,4000,0.9,0.25,242
EA2B,2,10,0.22878150503999506,0.23812569847617693,120,30,4000,0.9,0.25,242
EA2B,2,11,0.22878150503999506,0.23812569847617693,120,30,4000,0.9,0.25,242
EA2B,2,12,0.23925831732755098,0.24874286928497155,120,30,4000,0.9,0.25,242
EA2B,2,13,0.24363370838544193,0.24905180129376175,120,30,4000,0.9,0.25,242
EA2B,2,14,0.2493286646094065,0.2540030126639432,120,30,4000,0.9,0.25,242
EA2B,2,15,0.2544878318088414,0.2570281829438029,120,30,4000,0.9,0.25,242
EA2B,2,16,0.2617612639070931,0.26651408860618087,120,30,4000,0.9,0.25,242
EA2B,2,17,0.26292392257843455,0.26760857128939014,120,30,4000,0.9,0.25,242
EA2B,2,18,0.27531542432627787,0.2796783331054152,120,30,4000,0.9,0.25,242
EA2B,2,19,0.27531542432627787,0.2796783331054152,120,30,4000,0.9,0.25,242
EA2B,2,20,0.27957898806209686,0.2812967958226454,120,30,4000,0.9,0.25,242
EA2B,2,21,0.29031848355931983,0.2936746719124774,120,30,4000,0.9,0.25,242
EA2B,2,22,0.29708190428311776,0.3016874028791167,120,30,4000,0.9,0.25,242
EA2B,2,23,0.3051137852314312,0.31139108911740093,120,30,4000,0.9,0.25,242
EA2B,2,24,0.3109811529023826,0.31482151604367536,120,30,4000,0.9,0.25,242
EA2B,2,25,0.3148862519836092,0.3180435522130678,120,30,4000,0.9,0.25,242
EA2B,2,26,0.31730773096421483,0.3214133173037087,120,30,4000,0.9,0.25,242
EA2B,2,27,0.32234706847975536,0.3258140847334112,120,30,4000,0.9,0.25,242
EA2B,2,28,0.32234706847975536,0.3258140847334112,120,30,4000,0.9,0.25,242
EA2B,2,29,0.3229586351250521,0.3270248812697265,120,30,4000,0.9,0.25,242
EA2B,2,30,0.3229586351250521,0.3270248812697265,120,30,4000,0.9,0.25,242
