algorithm,outer_run,episode_index,fitness_variant,fitness,steps,seed
Random,1,0,EA1,0.0002894515559435485,4000,142
Random,1,1,EA1,-0.0017700324884875347,4000,142
Random,1,2,EA1,-0.004101459007349242,4000,142
Random,1,3,EA1,-0.0016368051935623422,4000,142
Random,1,4,EA1,-0.001527388815008661,4000,142
Random,1,5,EA1,0.0012682728560290714,4000,142
Random,1,6,EA1,0.0006636298963049209,4000,142
Random,1,7,EA1,-0.0017144801075293775,4000,142
Random,1,8,EA1,0.000840438268360834,4000,142
Random,1,9,EA1,0.002045460885871439,4000,142
Random,1,10,EA1,-0.0034045806956712124,4000,142
Random,1,11,EA1,0.0013687532066981815,4000,142
Random,1,12,EA1,-0.0006372344338093057,4000,142
Random,1,13,EA1,0.005819199637116056,4000,142
Random,1,14,EA1,-0.0015483529008259705,4000,142
Random,1,15,EA1,0.00034241191699029184,4000,142
Random,1,16,EA1,-0.0008746425129940658,4000,142
Random,1,17,EA1,-0.000990457182254713,4000,142
Random,1,18,EA1,0.0008713425208927296,4000,142
Random,1,19,EA1,-0.0026788568976172707,4000,142
Random,1,20,EA1,-0.0003330341933749783,4000,142
Random,1,21,EA1,-0.0010338509586950268,4000,142
Random,1,22,EA1,-0.0013201705789512084,4000,142
Random,1,23,EA1,-0.0006217206170177406,4000,142
Random,1,24,EA1,-0.00072607270271299,4000,142
Random,1,25,EA1,0.0017219998335493874,4000,142
Random,1,26,EA1,0.0003950560034275529,4000,142
Random,1,27,EA1,0.0009534574513432128,4000,142
Random,1,28,EA1,0.00039197588782293813,4000,142
Random,1,29,EA1,-0.0035434353140082523,4000,142
