algorithm,outer_run,generation,native_fitness,projected_fitness,pop_size,n_gen,steps,cxpb,mutpb,seed
EA1,1,0,0.006591001807388093,0.006591001807388093,120,30,4000,0.9,0.25,142
EA1,1,1,0.008826774562085155,0.008826774562085155,120,30,4000,0.9,0.25,142
EA1,1,2,0.008826774562085155,0.008826774562085155,120,30,4000,0.9,0.25,142
EA1,1,3,0.010999499353289154,0.010999499353289154,120,30,4000,0.9,0.25,142
EA1,1,4,0.011888887202976706,0.011888887202976706,120,30,4000,0.9,0.25,142
EA1,1,5,0.011888887202976706,0.011888887202976706,120,30,4000,0.9,0.25,142
EA1,1,6,0.013512467070490506,0.013512467070490506,120,30,4000,0.9,0.25,142
EA1,1,7,0.015127635774263546,0.015127635774263546,120,30,4000,0.9,0.25,142
EA1,1,8,0.01647959716245586,0.01647959716245586,120,30,4000,0.9,0.25,142
EA1,1,9,0.017121813330061207,0.017121813330061207,120,30,4000,0.9,0.25,142
EA1,1,10,0.02262065240563117,0.02262065240563117,120,30,4000,0.9,0.25,142
EA1,1,11,0.02262065240563117,0.02262065240563117,120,30,4000,0.9,0.25,142
EA1,1,12,0.023510548985667422,0.023510548985667422,120,30,4000,0.9,0.25,142
EA1,1,13,0.025530397679663062,0.025530397679663062,120,30,4000,0.9,0.25,142
EA1,1,14,0.02605271899935974,0.02605271899935974,120,30,4000,0.9,0.25,142
EA1,1,15,0.027714214360693178,0.027714214360693178,120,30,4000,0.9,0.25,142
EA1,1,16,0.032305097310835126,0.032305097310835126,120,30,4000,0.9,0.25,142
EA1,1,17,0.032305097310835126,0.032305097310835126,120,30,4000,0.9,0.25,142
EA1,1,18,0.0343797176254376,0.0343797176254376,120,30,4000,0.9,0.25,142
EA1,1,19,0.036659456082170805,0.036659456082170805,120,30,4000,0.9,0.25,142
EA1,1,20,0.037681338145677874,0.037681338145677874,120,30,4000,0.9,0.25,142
EA1,1,21,0.038962309402422124,0.038962309402422124,120,30,4000,0.9,0.25,142
EA1,1,22,0.0410895727349868,0.0410895727349868,120,30,4000,0.9,0.25,142
EA1,1,23,0.04677756016009286,0.04677756016009286,120,30,4000,0.9,0.25,142
EA1,1,24,0.05125892678971606,0.05125892678971606,120,30,4000,0.9,0.25,142
EA1,1,25,0.052333458113288295,0.052333458113288295,120,30,4000,0.9,0.25,142
EA1,1,26,0.05487191360087907,0.05487191360087907,120,30,4000,0.9,0.25,142
EA1,1,27,0.055987836674821045,0.055987836674821045,120,30,4000,0.9,0.25,142
EA1,1,28,0.05740927002082736,0.05740927002082736,120,30,4000,0.9,0.25,142
EA1,1,29,0.059868916677429794,0.059868916677429794,120,30,4000,0.9,0.25,142
EA1,1,30,0.059868916677429794,0.059868916677429794,120,30,4000,0.9,0.25,142
